RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6742,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3837,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6307,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5183,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3112,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5809,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4430,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5686,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4550,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3927,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3375,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3787,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
8056,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3923,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4018,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4818,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3195,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2840,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2963,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2864,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3323,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3211,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2786,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4219,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3007,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6051,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4192,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2796,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4616,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
8770,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4017,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3708,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2788,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2529,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
