RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fde6d194b3bdc5b9e1ce1d1,44733.39653
8609,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
6552,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3385,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5889,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3248,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4111,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5034,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4240,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3291,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4966,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fde6d194b3bdc5b9e1ce1d1,44733.39653
6327,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3813,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3374,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5796,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3839,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5010,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3824,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5452,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4073,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
7384,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fde6d194b3bdc5b9e1ce1d1,44733.39653
8021,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3826,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4373,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2862,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2212,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
6471,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2617,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2264,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
1930,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
40842,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
9012,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3098,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fde6d194b3bdc5b9e1ce1d1,44733.39653
7744,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fde6d194b3bdc5b9e1ce1d1,44733.39653
7290,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5178,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2886,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4414,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fde6d194b3bdc5b9e1ce1d1,44733.39653
3067,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2164,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
5180,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
7073,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2528,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
2826,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
1948,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
4115,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fde6d194b3bdc5b9e1ce1d1,44733.39653
