RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2137,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2430,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3607,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2624,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3536,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3378,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1843,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2830,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2991,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4991,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3126,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2478,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1902,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2536,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2005,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4375,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2071,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1810,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2565,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2021,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2958,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2084,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3777,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2259,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2375,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1959,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2151,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1805,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2433,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
