RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3964,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3166,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3404,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4642,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2542,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3330,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6337,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5942,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2091,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2625,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4533,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2119,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4207,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4363,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2731,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5839,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3869,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3224,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4326,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4773,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2433,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3792,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3777,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2504,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6061,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2510,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
9074,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5312,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4476,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2326,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4701,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2481,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2013,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2973,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5798,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
1971,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5583,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2455,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6527,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
7557,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3767,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4367,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2405,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4624,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5497,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3716,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2273,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4817,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3958,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2772,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
1873,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2369,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3531,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3409,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4100,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6118,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2533,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
8284,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6868,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
8585,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5629,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3995,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
12056,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6232,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4509,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2613,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
7600,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2869,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5407,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4144,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2891,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3539,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2111,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2662,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5031,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6030,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3962,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3507,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
