RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
3713,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
3944,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
3743,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
5478,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
2139,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
11239,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
2484,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
6350,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
3829,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
8539,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
4448,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
7178,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
10546,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
5948,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
10116,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
9944,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
9289,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
5804,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
6869,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
4890,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
4864,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
6583,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
7369,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e5180bee64243000be60d10,"08/07/2022, 08:11:28"
