RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3164,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3516,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3295,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2171,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4581,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1875,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2396,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2261,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2050,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1875,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3266,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1578,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2346,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3552,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2908,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4199,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2795,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2687,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2887,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3119,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
