RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
5719,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
5734,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3943,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3565,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4087,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3764,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3786,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3010,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4085,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4223,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3343,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
7725,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3318,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3112,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2781,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3382,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2529,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2518,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3714,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3011,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4599,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4868,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
7432,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2754,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2705,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2885,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
3786,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
2805,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4270,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
4268,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,603e24d189c6cfd87dc43144,"06/24/2022, 07:39:33"
