RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
4529,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
5665,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
3688,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
4450,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
4113,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
4945,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
5081,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
2824,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
2900,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
5003,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
2666,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
2450,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
3822,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
3693,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
5357,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"06/28/2022, 15:05:20"
