RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
6896,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
4268,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
4469,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
4244,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
23648,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
5343,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
6443,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
4809,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
2920,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
9858,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
1758,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e8f6ba57da4b324b99a3f4d,"06/23/2022, 13:09:19"
