RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
8965,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
10558,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
11479,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
4875,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
13769,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
4477,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
4733,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
8624,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3440,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
5560,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
4541,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3097,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
5076,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2682,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3153,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
6572,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2343,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
7255,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
7207,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
5423,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3138,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
7214,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3155,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2655,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
15354,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2214,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3721,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
8558,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1537,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2503,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2851,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
4109,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2973,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2374,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3390,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2912,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3535,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2123,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3114,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2529,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2082,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
5523,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
14614,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3456,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2131,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2206,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3942,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1414,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1991,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3201,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2772,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1946,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3699,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1747,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2343,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1808,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2980,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
3009,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1813,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2808,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2296,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1774,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
16608,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
2113,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
1803,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d28827da280ea0018368fef,"06/27/2022, 20:50:14"
