RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2650,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1610,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1718,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1564,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2483,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
6276,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3748,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1567,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2170,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2162,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2041,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
