RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5272,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4934,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4354,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3046,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4476,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3025,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2987,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2969,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2875,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3521,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2972,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3421,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3332,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3062,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3709,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3520,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
