RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
9629,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6116,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3900,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4148,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5398,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6816,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2348,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
7511,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2965,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6029,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4095,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4548,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4432,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2765,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3131,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2300,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5349,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2615,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5414,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
7698,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
7433,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3034,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3930,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2483,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2783,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4331,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6997,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2165,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2129,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2784,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2215,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6800,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3581,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2995,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1683,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2146,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2462,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2928,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3999,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2533,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2148,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2396,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2848,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2766,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1933,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
