RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1685,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3421,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1836,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2805,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3021,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2512,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3250,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2115,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1966,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2202,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2536,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2582,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2434,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1806,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1766,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
