RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2719,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3452,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4965,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2864,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2773,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2511,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3931,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3394,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6552,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3220,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3714,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2307,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2345,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5134,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3860,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2961,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3046,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6100,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7573,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3112,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3409,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3747,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2290,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2674,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5331,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2367,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2062,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2778,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2360,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3347,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2382,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4600,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2225,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2455,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3180,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4567,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2849,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2169,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1326,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1600,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4222,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2045,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2770,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2781,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1886,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1579,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2192,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1956,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2281,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2543,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3434,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2402,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3337,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3687,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2310,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4364,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2800,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2644,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2784,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3229,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3886,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2754,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2044,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2457,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2088,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1965,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1740,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1979,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3213,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2867,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2691,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3436,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4739,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3501,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3454,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2544,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2787,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2384,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4609,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2274,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2623,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3151,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2551,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2388,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3551,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3784,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2171,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1724,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2019,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2571,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2795,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1601,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3498,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2143,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
