RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1996,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3239,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2989,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2284,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3288,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2400,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2455,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2506,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2290,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2232,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4473,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4872,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
5964,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2022,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
