RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2314,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2671,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3069,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3451,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2523,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2812,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1884,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2323,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
5082,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2991,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2149,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2172,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2003,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1841,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2277,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1673,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2098,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2151,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2151,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2532,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2109,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1690,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1433,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1753,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4103,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1938,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2058,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2777,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2199,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1821,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2338,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3670,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1675,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1713,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1718,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2146,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2311,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1359,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4242,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1917,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3686,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2296,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1360,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4676,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
7633,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3086,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1672,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1808,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2888,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2527,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1444,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1888,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2041,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1936,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2057,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1679,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1926,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2591,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2382,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2419,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2878,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2656,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1516,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1499,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2594,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3009,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1921,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2267,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1793,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2313,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1778,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
6318,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2163,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2101,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2743,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
