RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3115,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2308,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1801,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3977,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
5248,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2903,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
5196,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3789,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3035,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2687,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2558,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1824,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1949,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2994,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2750,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2537,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3573,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1922,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1931,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3131,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2309,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2511,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1574,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1964,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2883,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3195,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2336,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2089,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1993,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
4073,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2536,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2588,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2452,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2419,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1769,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2583,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1575,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1768,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1726,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2507,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1720,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3949,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3093,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1767,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2568,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2150,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2473,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2019,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2086,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3009,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1687,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2079,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1919,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1950,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
4359,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
4281,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2886,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2080,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2993,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2692,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2488,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
1494,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2415,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
