RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
5324,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
4900,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3190,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
2994,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
2569,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
2790,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
4153,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3094,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3123,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3608,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3268,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
3748,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
4573,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f75cfbb3e500727c8c97631,"07/10/2022, 11:13:01"
