RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
21623,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2979,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2744,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3653,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2191,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2101,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4063,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
7510,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2041,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4389,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2259,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2633,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5511,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4015,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2742,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
6427,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
6102,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2461,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3582,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2834,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4399,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2994,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4538,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3840,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2944,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
24664,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2769,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2011,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3059,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
