RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
5243,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
5044,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4159,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3422,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2358,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3310,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2484,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3367,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2959,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1848,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4776,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2276,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2396,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2220,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
7050,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1819,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3240,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1890,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1950,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1845,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4492,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2203,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
7001,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2090,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1936,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4528,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2472,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2644,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2829,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3138,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1548,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1717,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4713,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1952,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
11462,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1880,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
5071,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4517,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4079,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1751,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1625,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2160,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1408,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1460,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3012,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1714,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2531,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4020,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2278,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
