RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
4076,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2833,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2258,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2082,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2118,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2970,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2532,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2802,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2739,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2258,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1786,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
3273,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1812,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2017,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2103,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2184,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2092,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1674,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2087,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2531,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2145,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
4484,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2272,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1868,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
3530,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2789,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
2195,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1641,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
1950,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60432be2ffdadc2d2b9a90e4,"07/12/2022, 19:35:57"
