RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2146,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1833,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3646,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1948,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5076,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3117,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2009,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1872,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4984,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1595,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1720,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1650,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1814,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2154,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2222,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4025,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1764,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3721,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1958,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2166,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2128,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2833,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1949,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
