RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2186,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1419,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1622,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1641,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4838,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1581,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1960,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4863,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1878,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1602,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1685,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2373,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1690,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1827,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2522,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2387,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4100,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1452,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1366,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1705,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1629,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1991,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2275,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1465,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1371,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
7699,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2631,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1694,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2916,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1605,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1046,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2210,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2254,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2314,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1830,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2157,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1867,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1790,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1364,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1561,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1845,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3093,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2321,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2991,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3261,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4455,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5545,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5993,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3365,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1722,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
6430,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2039,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
file,isFamiliar,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_david_camer.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_nigel_farage.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Russell_Howard.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_Tony_Blair.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_jeremy_corbyn.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_keir_starmer.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_F_Julie_Walters.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_Sajid_Javid.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_F_Dawn_Roma_French.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Peter_Kay.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Michael_McIntyr.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Jimmy_Carr.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Ewan_McGregor.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_F_Jennifer_Saunders.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_F_Theresa_May.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_Gordon_Brown.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_F_Sarah_Millican.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
E_M_Simon_Pegg.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_F_nicola_sturge.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
P_M_Michael_Gove.png,0,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
age: 34,gender: Female,handedness: right,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
