RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
15473,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
3940,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
4257,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
1995129,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2637,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
3631,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2685,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2331,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2474,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2590,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
2247,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
1598,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
1969,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ec24766fd704d00089a80af,"07/12/2022, 19:04:28"
