RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2129,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1868,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5079,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2463,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3616,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3536,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2081,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1975,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1865,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2019,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2294,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1629,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2005,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2253,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2524,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3090,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2488,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2277,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
6603,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3651,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3389,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3905,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2119,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5690,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2858,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1965,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
6143,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4102,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5393,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3193,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3695,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1873,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3260,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3183,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2166,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4688,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1895,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2919,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5321,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2217,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1944,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1917,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2576,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2630,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2333,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2448,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2477,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
