RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4698,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3598,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3671,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3340,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2676,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2608,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2487,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2303,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2226,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2037,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
