RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3019,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2423,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2649,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3825,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3451,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3257,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2101,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2589,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2442,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3329,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2998,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2632,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2177,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1992,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2441,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2910,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3362,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2346,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3688,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1986,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1889,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1980,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2410,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2196,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3207,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2330,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1992,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2132,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
file,isFamiliar,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_Michael_Gove.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Michael_McIntyr.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_Gordon_Brown.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_david_camer.png,1,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_keir_starmer.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_F_Sarah_Millican.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_Sajid_Javid.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Peter_Kay.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_F_Dawn_Roma_French.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_F_Theresa_May.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_F_Jennifer_Saunders.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Simon_Pegg.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_F_Julie_Walters.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Russell_Howard.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Jimmy_Carr.png,1,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_F_nicola_sturge.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_Tony_Blair.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
E_M_Ewan_McGregor.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_jeremy_corbyn.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
P_M_nigel_farage.png,0,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
age: 28,gender: Female,handedness: left,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
