RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
10187,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
12615,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
7116,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
9864,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
7310,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
8687,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
6337,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
6717,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
5502,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
8509,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
11025,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
5437,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
4473,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
5715,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
6340,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
7015,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
4134,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
6570,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
14151,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
4116,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
4185,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
6546,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
7651,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
3803,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
5304,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fd131a9a38b070be1ad92f0,"07/12/2022, 11:52:15"
