RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1259,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1631,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1806,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1278,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1142,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1358,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
2491,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
2430,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1571,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1994,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1558,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
2070,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1682,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1883,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1794,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1626,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
2419,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1257,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1504,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1584,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
