RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3460,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2267,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2346,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2072,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2067,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2993,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
4389,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
7337,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2764,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
5340,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
52281,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3806,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2543,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2669,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3287,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
4423,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
16648,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
62500,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3253,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3029,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2818,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2734,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2106,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3165,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2752,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2921,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2278,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3025,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
1978,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
