RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4199,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2893,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3152,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1192,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
870,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2220,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
10676,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3183,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
file,isFamiliar,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Ewan_McGregor.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_nigel_farage.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_F_Julie_Walters.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_Tony_Blair.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
