RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4051,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4638,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4424,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2783,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4420,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4183,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
3103,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
5191,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
6125,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2444,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4743,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
5593,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4545,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2692,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
5244,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
3179,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2654,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
7412,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2860,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
3872,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
4094,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2331,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
7398,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
3359,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2562,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
3362,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
5181,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2605,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2295,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2341,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
2676,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
7994,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55057a56fdf99b5b566a70bb,"06/30/2022, 11:50:03"
