RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2666,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2411,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4413,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3410,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5815,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4146,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4002,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4806,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2723,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2660,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3941,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2775,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4209,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3336,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4026,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4192,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6428,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3771,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2774,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5110,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5192,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3151,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2472,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2413,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2428,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4248,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2566,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3294,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6045,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4232,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4181,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5592,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5692,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3541,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5024,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4502,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3804,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2595,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3343,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2748,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3109,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2626,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3820,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3306,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2880,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3353,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3855,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3009,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3562,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4222,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4832,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6122,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6382,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5547,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4781,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4221,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4600,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
7200,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
1990,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2655,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2802,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3227,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2913,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3668,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2789,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3059,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4085,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3080,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6750,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3131,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2406,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5242,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6301,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3507,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2712,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2581,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3408,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2794,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3495,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3715,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2601,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
