RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4117,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2992,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2276,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3019,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2099,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3024,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2550,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2603,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1942,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1634,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3624,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1819,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1819,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2706,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2772,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2716,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3354,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2013,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1886,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1839,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1885,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2621,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1881,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
