RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5279,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2484,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2843,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4017,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5716,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4303,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3723,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2972,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3553,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4941,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4931,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5484,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4972,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5141,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3110,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
6570,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3623,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4492,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4881,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3417,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5561,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3706,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4611,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3761,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3115,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4984,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3349,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
7343,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2363,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3509,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3134,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
