RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3058,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
2970,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
2578,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
2706,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4323,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3506,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
5224,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
6948,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4746,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
5758,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
10438,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
13086,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
2498,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3102,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
13962,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3122,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
2238,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3023,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
