RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1607,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1359,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1302,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1239,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1031,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1695,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1535,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1311,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1271,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1647,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1159,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1173,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1295,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1055,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1085,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1398,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
983,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1184,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
