RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
13299,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6557,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7678,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3253,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5317,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
9766,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2569,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6929,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2459,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6399,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
14267,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4972,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3901,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
