RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3782,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3001,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2203,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3624,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
4155,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3502,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3213,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2201,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3515,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3436,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2260,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3358,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
14067,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3619,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
6307,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
5877,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
6419,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
8485,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1860,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2432,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3523,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1508,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3872,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
5378,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2416,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1781,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
25830,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2394,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1727,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2215,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1718,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2760,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2445,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1681,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
4385,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
4134,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1649,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
15979,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2841,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
16244,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2094,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
915,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2489,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2585,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
25112,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
29763,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2117,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3433,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1584,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1872,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2842,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2254,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2858,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3126,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
15787,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
23406,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1906,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1650,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1407,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1900,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2150,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2247,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2722,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2407,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2299,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1437,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
6126,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
65422,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1798,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
