RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
674,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2205,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3465,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1701,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3290,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3018,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1638,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2798,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1796,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1453,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2210,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
657,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
