RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2302,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2238,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2132,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2916,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2545,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2672,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3916,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2191,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1413,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1865,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3451,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
