RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3559,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
5190,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3383,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4941,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4279,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4424,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2574,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4380,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
15909,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2045,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1738,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2110,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4661,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3217,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2198,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2075,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2315,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1659,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1837,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2057,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2847,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1828,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2269,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2011,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3204,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2070,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2149,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2353,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2043,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1513,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1783,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1962,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2547,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2015,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1831,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2060,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
