RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5415,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4818,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3370,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3872,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4767,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3261,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3496,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3321,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
6126,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3592,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
8418,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4081,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4045,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5001,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5479,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
7500,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4044,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
