RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3267,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1599,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2874,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3640,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4600,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2369,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3007,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
41367,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1955,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3475,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2385,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2725,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2394,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1488,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4519,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1986,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2925,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1776,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2495,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3147,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2333,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1331,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4788,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3057,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
7278,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1857,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1883,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1442,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1274,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
file,isFamiliar,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
