RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4314,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
5103,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
7396,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4282,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
6567,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
7081,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
5870,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4764,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3169,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
5547,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3384,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4751,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4312,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3367,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4372,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4231,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3851,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
6325,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4349,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
2950,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4881,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3963,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
13793,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
18862,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
6481,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
9403,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
2631,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4859,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3760,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3346,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3467,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3365,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
6180,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4301,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
13558,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4739,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
14608,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
7318,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4623,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
2763,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3769,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3396,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3920,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
