RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
6779,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
5377,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3679,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3291,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3021,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3121,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2390,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2595,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2359,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3234,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2471,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2563,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2286,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2432,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2792,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2257,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
