RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1961,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4935,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4554,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1942,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2562,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2587,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2052,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2132,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5435,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2718,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2809,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1775,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2523,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2919,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2872,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2467,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3998,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
6544,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1958,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
6334,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2356,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2426,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
