RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7319,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3693,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5893,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5954,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5593,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4235,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7016,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4526,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5758,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7673,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3746,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5053,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7369,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6734,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5603,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4871,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4917,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4634,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6164,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6995,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4628,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4890,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6587,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6395,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6352,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5900,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7260,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
8873,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5056,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
