RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
8588,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3723,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3494,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3369,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3788,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3619,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2703,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4484,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2437,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2596,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2406,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2439,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2572,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3765,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2475,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2935,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2578,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2603,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
