RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3008,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5677,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2397,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6034,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6601,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2327,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2210,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3833,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3375,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2700,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4906,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5889,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2575,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2653,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1932,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
