RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7359,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5383,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4616,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4308,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4291,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4136,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4754,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5326,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4043,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7388,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4359,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3297,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
8288,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
9595,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4007,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4583,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5276,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7001,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4311,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3572,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6776,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6653,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3985,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3775,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5052,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2936,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4343,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7083,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4246,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7917,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
8758,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3543,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3089,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
11415,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
16839,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3499,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4878,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2804,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2230,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2656,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2621,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5078,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4684,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5695,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2436,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
