RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
14467,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6903,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5555,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5372,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
14451,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6294,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
38566,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7167,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7137,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
33680,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6746,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5767,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7785,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5878,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7577,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
9155,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5650,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
11768,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6825,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
8702,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7420,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
18622,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7772,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
8130,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7284,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6238,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6839,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6953,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4535,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
9238,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3301,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7460,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5615,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6542,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6523,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4197,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
19568,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
13562,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
11070,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6936,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4512,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5520,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5896,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
