RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3531,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3775,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
11160,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3196,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5372,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5822,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3299,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7975,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
20008,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
246120,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3406,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3651,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3490,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2397,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2943,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3588,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5937,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4362,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3884,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
