RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1895,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3247,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5262,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1960,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3455,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1694,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2151,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2280,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1527,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3127,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4590,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2791,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2815,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3775,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3222,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2998,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5262,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1838,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1741,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
