RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3562,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5751,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5766,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
11839,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3170,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2488,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2529,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2594,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3442,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4205,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
