RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2584,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2026,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3395,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3232,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4438,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
9860,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5798,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2219,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2980,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3232,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2548,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
1691,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2620,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4787,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
