RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4268,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2670,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
6320,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2728,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3609,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2743,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4032,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3038,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4424,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2934,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2395,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3420,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2333,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4151,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
5208,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3559,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
