RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3174,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3261,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4770,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2039,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2532,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2142,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2010,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4042,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2818,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
6967,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2469,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2353,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
