RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3756,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4702,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2710,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2915,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2631,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2487,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2953,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
5807,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
5303,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2784,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2378,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2397,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3937,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2643,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
5624,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2948,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3808,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4774,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3538,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2600,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2239,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2487,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4549,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2709,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2620,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2503,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2371,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1909,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2698,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1657,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2752,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
5446,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
6695,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2289,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
6129,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
7086,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
7246,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
9085,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
14112,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2122,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1926,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3781,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1874,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1472,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1406,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2278,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2713,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1584,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2071,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
file,isFamiliar,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_M_Hugh_Grant.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_Kate_Winslet.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_M_tom_hankes.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_george_Wbush.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_angelina_jolie.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_M_michael_caine.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_david_cameron.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_donald_trump.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_F_tehresy_may.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_M_robert_de_niro.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_bill_clinton.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_jennifer_aniston.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_sandra_bullock.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_F_hillary_clinton.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_boris_johnson.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_F_nicola_sturgeon.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_keira_knightley.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_F_Judi_Dench.png,1,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
E_M_nicolas_cage.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
P_M_Tony_Blair.png,0,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
age: 31,gender: Female,handedness: right,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
