RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2672,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2282,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2084,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3418,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3385,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2998,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1726,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2064,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2068,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1550,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1734,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2845,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1444,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2886,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2800,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2980,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
6147,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2150,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2890,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3606,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1626,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3503,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2782,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1764,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2553,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3946,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2754,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3483,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2196,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2549,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2520,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2804,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2235,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2420,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2744,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1979,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2616,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
7563,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2163,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1584,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1839,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1765,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2045,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3663,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1478,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3319,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3438,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1900,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2927,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2158,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
1636,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3175,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2422,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2077,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3371,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2575,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
5896,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3950,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3460,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2891,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3683,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2725,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2544,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3278,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2085,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2168,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2684,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3099,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
3208,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2510,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2202,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2917,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
2813,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61103c9be7e087a12519d6fd,"05/06/2022, 10:49:21"
