RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
4286,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
14087,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
5866,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2802,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
4085,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
3350,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
25807,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2321,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2563,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
4357,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2158,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2134,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2785,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2585,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2046,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2467,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2210,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
3009,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
2732,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ff74e9756bc433d405a5773,"05/06/2022, 10:48:52"
