RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7505,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6945,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6006,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6168,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3767,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4296,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6740,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3837,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9480,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2931,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3743,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3163,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4764,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
10032,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4256,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4642,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4217,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5169,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
