RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2884,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2958,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5244,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3641,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3737,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5005,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3898,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5064,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3917,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7210,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2433,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2791,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2581,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2770,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2115,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3433,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4697,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4510,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3203,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7165,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
10595,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2402,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2696,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3907,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2370,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2667,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5807,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4557,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3490,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3662,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2922,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6521,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8693,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5845,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3508,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5936,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3506,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2942,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2689,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2545,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3127,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3818,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5364,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5245,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2542,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2394,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7686,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3818,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2878,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4397,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3225,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4065,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9440,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
file,isFamiliar,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_M_Hugh_Grant.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_Judi_Dench.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_F_nicola_sturgeon.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_david_cameron.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_M_robert_de_niro.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_boris_johnson.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_M_nicolas_cage.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_F_tehresy_may.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_F_hillary_clinton.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_Tony_Blair.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_george_Wbush.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_keira_knightley.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_M_michael_caine.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_donald_trump.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_Kate_Winslet.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_jennifer_aniston.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_M_tom_hankes.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
P_M_bill_clinton.png,0,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_angelina_jolie.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
E_F_sandra_bullock.png,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
age: 28,gender: Female,handedness: right,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
